Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
29-Mar-06,1293.23,1305.6,1293.23,1302.89,1302.89,"2,143,540,000",2.64
28-Mar-06,1301.61,1306.24,1291.84,1293.23,1293.23,"2,148,580,000",-9.66
27-Mar-06,1302.95,1303.74,1299.09,1301.61,1301.61,"2,029,700,000",8.38
24-Mar-06,1301.67,1306.53,1298.89,1302.95,1302.95,"2,326,070,000",1.34
23-Mar-06,1305.04,1305.04,1298.11,1301.67,1301.67,"1,980,940,000",-1.28
22-Mar-06,1297.23,1305.97,1295.81,1305.04,1305.04,"2,039,810,000",3.37
21-Mar-06,1305.08,1310.88,1295.82,1297.23,1297.23,"2,147,370,000",-7.81
20-Mar-06,1307.25,1310,1303.59,1305.08,1305.08,"1,976,830,000",7.85
17-Mar-06,1305.33,1309.79,1305.32,1307.25,1307.25,"2,549,620,000",2.17
16-Mar-06,1303.02,1310.45,1303.02,1305.33,1305.33,"2,292,180,000",-1.92
15-Mar-06,1297.48,1304.4,1294.97,1303.02,1303.02,"2,293,000,000",-2.31
14-Mar-06,1284.13,1298.14,1282.67,1297.48,1297.48,"2,165,270,000",-5.54
13-Mar-06,1281.58,1287.37,1281.58,1284.13,1284.13,"2,070,330,000",-13.35
10-Mar-06,1272.23,1284.37,1271.11,1281.42,1281.42,"2,123,450,000",-2.71
9-Mar-06,1278.47,1282.74,1272.23,1272.23,1272.23,"2,140,110,000",-9.19
8-Mar-06,1275.88,1280.33,1268.42,1278.47,1278.47,"2,442,870,000",6.24
7-Mar-06,1278.26,1278.26,1271.11,1275.88,1275.88,"2,268,050,000",-2.59
6-Mar-06,1287.23,1288.23,1275.67,1278.26,1278.26,"2,280,190,000",2.38
3-Mar-06,1289.14,1297.33,1284.2,1287.23,1287.23,"2,152,950,000",8.97
2-Mar-06,1291.24,1291.24,1283.21,1289.14,1289.14,"2,494,590,000",1.91
1-Mar-06,1280.66,1291.8,1280.66,1291.24,1291.24,"2,308,320,000",2.1
28-Feb-06,1294.12,1294.12,1278.66,1280.66,1280.66,"2,370,860,000",-10.58
27-Feb-06,1289.43,1297.57,1289.43,1294.12,1294.12,"1,975,320,000",13.46
24-Feb-06,1287.79,1292.11,1285.62,1289.43,1289.43,"1,933,010,000",-4.69
23-Feb-06,1292.67,1293.84,1285.14,1287.79,1287.79,"2,144,210,000",-1.64
22-Feb-06,1283.03,1294.17,1283.03,1292.67,1292.67,"2,222,380,000",4.88
21-Feb-06,1287.24,1291.92,1281.33,1283.03,1283.03,"2,104,320,000",-9.64
